x坐标	y坐标	z坐标	朝向	UI显示的文字（点击前）	UI显示的文字（点击后）	UI显示的图片（点击前）	UI显示的图片（点击后）	body	bodyId	name	actor
x	y	z	yaw	tipNor	tipPre	imageNor	imagePre	body	bodyId	name	actor
-730.5	34.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-730.5	34.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	44.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	44.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	53.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	53.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	62.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	62.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	71.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	71.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	80.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	80.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	89.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	89.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	98.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	98.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	107.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	107.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	116.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	116.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	125.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	125.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	146.2	-225.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
-734.5	146.2	-232.5	90	@@@	@@@	@@@	@@@	1	1	@@@	g1047_elevator.actor
